Date,Close,Open,High,Low,Volume,Change_pct
10.7.2023,145.5,144.2,145.5,141.8,133590,0.34%
7.7.2023,145,144.85,145.75,143.1,194670,0.14%
6.7.2023,144.8,143,144.8,140.65,280650,1.01%
5.7.2023,143.35,151.45,151.45,140.75,493620,-5.50%
4.7.2023,151.7,155,155.3,151.7,205870,-2.13%
3.7.2023,155,155,157.4,154.15,270690,0.10%
30.6.2023,154.85,156.5,157.8,153.4,216560,0.13%
29.6.2023,154.65,151.5,157.7,150.55,353350,2.52%
28.6.2023,150.85,148,155.05,147.65,455130,2.41%
27.6.2023,147.3,152.7,153,146.35,449030,-3.16%
26.6.2023,152.1,151.2,153.55,150.3,426200,0.07%
23.6.2023,152,153.85,156.4,152,345370,-2.31%
22.6.2023,155.6,154.05,158.2,153.2,320140,0.52%
21.6.2023,154.8,156,160.5,153.1,580040,-0.80%
20.6.2023,156.05,165.75,165.9,155.55,805020,-5.88%
19.6.2023,165.8,169,175.85,165,587150,-2.47%
16.6.2023,170,168.25,173,159.8,1620000,1.04%
15.6.2023,168.25,159.9,168.4,155.25,1430000,5.82%
14.6.2023,159,140.45,160,140.3,1350000,13.33%
13.6.2023,140.3,142.75,143.1,138.6,440280,-0.78%
12.6.2023,141.4,133,143.5,132.95,1580000,9.32%
9.6.2023,129.35,132,132.4,128.5,533340,-1.26%
7.6.2023,131,132.8,133,130.1,301970,-1.21%
6.6.2023,132.6,130.4,133.5,128.6,721820,1.45%
5.6.2023,130.7,129.95,131.5,128.05,479020,1.75%
2.6.2023,128.45,125,129.7,123.8,474350,3.59%
1.6.2023,124,121.6,124.2,121.1,228310,2.31%
31.5.2023,121.2,122.5,122.5,119.85,571200,-1.82%
30.5.2023,123.45,125.1,125.4,120.25,592290,-1.24%
29.5.2023,125,121.05,125.3,119.5,822100,5.13%
26.5.2023,118.9,115.8,118.9,114.95,379640,4.12%
25.5.2023,114.2,115,115.5,113.2,218620,-0.13%
24.5.2023,114.35,120.2,120.2,114.35,537850,-5.50%
23.5.2023,121,118,121.3,116.45,576200,2.50%
22.5.2023,118.05,114,118.3,113.05,467730,3.83%
19.5.2023,113.7,110.8,114.35,110.65,472570,3.84%
18.5.2023,109.5,110,111.9,108.55,168870,0.32%
17.5.2023,109.15,111.2,112.25,108.55,328270,-1.84%
16.5.2023,111.2,114.4,114.5,111.2,432670,-2.80%
15.5.2023,114.4,116.4,116.7,114.15,217800,-0.39%
12.5.2023,114.85,117,119.25,114.85,340640,-1.59%
11.5.2023,116.7,114.5,119.6,113.4,563330,3.27%
10.5.2023,113,112.5,113.75,111.35,229190,1.03%
9.5.2023,111.85,112.2,112.4,110.55,99140,0.04%
8.5.2023,111.8,113.45,114,111.2,186570,-0.97%
5.5.2023,112.9,112.2,113.7,112.15,170890,0.80%
4.5.2023,112,111.9,113.25,111.5,261550,0.22%
2.5.2023,111.75,114.1,116.3,111.6,307010,-1.37%
28.4.2023,113.3,114.1,115.2,113.1,277620,-0.61%
27.4.2023,114,111.6,114.5,110.9,234980,1.83%
26.4.2023,111.95,111.2,112.8,110.5,220620,0.86%
